Time,Rep,PopSizeF,PopSizeM,PopSize,avg_tau,avg_p,avg_chi,avg_t,avg_gamma,avg_surviving_offspring_per_mother,avg_dead_offspring_per_mother,avg_survivalprob_true,avg_survivalprob_rando,avg_Res
0,7,500,500,1000,0,0,10,0,1.02724,2,1.068,0.628767,0.628767,1.02182
10,7,486,514,1000,0.00316849,0.000802225,10,0.00274225,0.99891,2.05761,1.16049,0.615941,0.616017,1.00325
20,7,491,509,1000,0.00362214,-0.000148651,10,0.00371616,0.99294,2.03666,1.28717,0.611806,0.612005,1.00719
30,7,498,502,1000,0.00323618,-0.000437495,10,0.00286228,0.981486,2.00803,1.21084,0.608506,0.608957,0.990122
40,7,499,501,1000,0.00248049,0.00241063,10,0.00282744,0.985287,2.00401,1.23647,0.61178,0.612309,0.995349
50,7,516,484,1000,0.00244178,0.00166765,10,0.00229797,1.00692,1.93798,1.14922,0.619688,0.61957,1.01396
60,7,515,485,1000,0.00464104,0.00209485,10,0.00446557,0.994852,1.94175,1.2466,0.618506,0.618899,0.999417
70,7,522,478,1000,0.00519713,0.00372501,10,0.00480833,0.985794,1.91571,1.22031,0.613412,0.61545,0.992834
80,7,532,468,1000,0.00496907,0.00909717,10,0.00507923,0.986759,1.8797,1.07331,0.610894,0.609077,1.00314
90,7,489,511,1000,0.00499051,0.0093408,10,0.00466121,0.97522,2.04499,1.3681,0.608367,0.607796,0.99463
100,7,495,505,1000,0.00534399,0.0195532,10,0.00553263,0.994807,2.0202,1.42424,0.612626,0.613364,0.986399
110,7,511,489,1000,0.00907011,0.0290677,10,0.00995963,0.994325,1.95695,1.24658,0.612743,0.6156,1.01042
120,7,495,505,1000,0.0121863,0.0234368,10,0.0118863,0.998263,2.0202,1.25455,0.619725,0.619317,1.00887
130,7,540,460,1000,0.0182363,0.0332411,10,0.0181407,0.993056,1.85185,1.09074,0.61134,0.612746,1.00606
140,7,521,479,1000,0.0218238,0.0366361,10,0.0212782,0.947707,1.91939,1.24376,0.605287,0.604687,0.993703
150,7,509,491,1000,0.0200463,0.0384177,10,0.0186399,0.969705,1.96464,1.25737,0.605768,0.604946,0.990723
160,7,513,487,1000,0.0228302,0.0274662,10,0.0220917,0.99031,1.94932,1.34893,0.612468,0.61397,1.01064
170,7,488,512,1000,0.0199166,0.0371431,10,0.0184374,0.975199,2.04918,1.27254,0.601258,0.600032,1.00597
180,7,501,499,1000,0.0218766,0.0375559,10,0.0223403,0.972163,1.99601,1.36327,0.606572,0.607143,0.997904
190,7,513,487,1000,0.0212333,0.0333709,10,0.0207615,0.982555,1.94932,1.24951,0.612015,0.612291,1.00042
200,7,511,489,1000,0.0237458,0.0279838,10,0.0233273,0.983793,1.95695,1.33659,0.61212,0.612849,1.00192
210,7,529,471,1000,0.02613,0.0319012,10,0.0280753,0.978779,1.89036,1.2552,0.608416,0.60994,0.997405
220,7,524,476,1000,0.0272562,0.0388386,10,0.0285154,0.984052,1.9084,1.30534,0.607128,0.60726,1.01427
230,7,483,517,1000,0.0295044,0.0517057,10,0.0284465,0.954901,2.07039,1.36853,0.600209,0.602618,0.994606
240,7,484,516,1000,0.0344094,0.0432411,10,0.0355104,0.98457,2.06612,1.15909,0.611573,0.612985,1.01075
250,7,483,517,1000,0.0358465,0.0560772,10,0.0350654,0.954313,2.07039,1.36232,0.599004,0.59484,0.992784
260,7,506,494,1000,0.0432406,0.0513254,10,0.0421018,0.954388,1.97628,1.3419,0.598048,0.59883,0.993718
270,7,499,501,1000,0.0464868,0.0677581,10,0.0461608,0.960685,2.00401,1.31463,0.601464,0.601353,0.996494
280,7,518,482,1000,0.0521992,0.0772458,10,0.0517576,0.932694,1.9305,1.35907,0.597153,0.593047,0.988579
290,7,492,508,1000,0.0606658,0.0793561,10,0.0614634,0.973353,2.03252,1.27846,0.609331,0.607647,1.02663
300,7,480,520,1000,0.067971,0.0896506,10,0.0689719,0.942499,2.08333,1.3875,0.598127,0.596403,1.00595
310,7,507,493,1000,0.0722963,0.0919601,10,0.0708637,0.906445,1.97239,1.31164,0.586076,0.581066,0.986419
320,7,509,491,1000,0.0759224,0.0851366,10,0.0742299,0.916084,1.96464,1.39096,0.589225,0.583772,0.993767
330,7,485,515,1000,0.0763449,0.0942755,10,0.0760838,0.921863,2.06186,1.43711,0.586741,0.582814,0.993611
340,7,488,512,1000,0.0804547,0.110074,10,0.0780203,0.906348,2.04918,1.48975,0.587831,0.580911,0.992963
350,7,494,506,1000,0.0816835,0.11017,10,0.0816097,0.91927,2.02429,1.37449,0.5987,0.589651,1.00595
360,7,503,497,1000,0.0838511,0.1115,10,0.0833004,0.930904,1.98807,1.31809,0.598409,0.592393,1.01673
370,7,498,502,1000,0.088974,0.100804,10,0.0901732,0.915907,2.00803,1.41767,0.584085,0.577805,0.996729
380,7,501,499,1000,0.0943151,0.113438,10,0.09538,0.917462,1.99601,1.42914,0.596357,0.583347,1.01432
390,7,496,504,1000,0.0991419,0.149287,10,0.0995127,0.886613,2.01613,1.41532,0.585729,0.571622,0.993978
400,7,525,475,1000,0.104737,0.156271,10,0.103572,0.881353,1.90476,1.39048,0.586672,0.572029,1.00593
410,7,503,497,1000,0.113843,0.169502,10,0.113988,0.891709,1.98807,1.30417,0.596729,0.580232,0.99391
420,7,502,498,1000,0.121381,0.173127,10,0.121886,0.88282,1.99203,1.28088,0.58851,0.575491,1.00087
