Time,Rep,PopSizeF,PopSizeM,PopSize,Sex,p,chi,tau,t,gamma,surviving_offspring_nr,dead_offspring_nr,Res,NrRejections,NrMatings
500,7,515,485,1000,1,0.257277,10,0.204426,20033,20033,4,1,0.688985,0,5
500,7,515,485,1000,1,0.352411,10,0.217913,20033,20033,1,1,0.740592,0,2
500,7,515,485,1000,1,0.324857,10,0.204426,20033,20033,4,1,0.861412,0,5
500,7,515,485,1000,1,0.317863,10,0.204111,20033,20033,1,2,0.852679,0,3
500,7,515,485,1000,1,0.294331,10,0.204426,20033,20033,1,0,0.535822,0,1
500,7,515,485,1000,1,0.317863,10,0.217913,20033,20033,1,2,1.14843,0,3
500,7,515,485,1000,1,0.244948,10,0.204111,20033,20033,2,3,0.572227,0,5
500,7,515,485,1000,1,0.233372,10,0.203449,20033,20033,3,0,0.960664,0,3
500,7,515,485,1000,1,0.352411,10,0.168184,20033,20033,0,1,1.13999,0,1
500,7,515,485,1000,1,0.177577,10,0.182331,20033,20033,2,2,0.683626,0,4
500,7,515,485,1000,1,0.294331,10,0.204111,20033,20033,2,3,0.662481,0,5
500,7,515,485,1000,1,0.363402,10,0.19014,20033,20033,2,1,0.516388,0,3
500,7,515,485,1000,1,0.173231,10,0.168184,20033,20033,2,1,0.868214,0,3
500,7,515,485,1000,1,0.294331,10,0.15945,20033,20033,2,2,0.529545,0,4
500,7,515,485,1000,1,0.352411,10,0.204111,20033,20033,1,3,1.29726,0,4
500,7,515,485,1000,1,0.294331,10,0.204426,20033,20033,1,1,0.704059,0,2
500,7,515,485,1000,1,0.294331,10,0.204426,20033,20033,3,2,1.08594,0,5
500,7,515,485,1000,1,0.262535,10,0.182331,20033,20033,2,2,0.79748,0,4
500,7,515,485,1000,1,0.294331,10,0.15945,20033,20033,1,0,0.961877,0,1
500,7,515,485,1000,1,0.294331,10,0.215741,20033,20033,1,0,1.39439,0,1
500,7,515,485,1000,1,0.177577,10,0.204111,20033,20033,2,1,0.993471,0,3
500,7,515,485,1000,1,0.177577,10,0.204426,20033,20033,1,1,1.10635,0,2
500,7,515,485,1000,1,0.294331,10,0.204111,20033,20033,1,0,0.779784,0,1
500,7,515,485,1000,1,0.352411,10,0.216411,20033,20033,0,1,0.648736,0,1
500,7,515,485,1000,1,0.259559,10,0.182331,20033,20033,1,2,0.802441,0,3
500,7,515,485,1000,1,0.317863,10,0.204111,20033,20033,0,1,1.30973,0,1
500,7,515,485,1000,1,0.352411,10,0.204111,20033,20033,2,2,1.1771,0,4
500,7,515,485,1000,1,0.352411,10,0.168184,20033,20033,3,1,1.48281,0,4
500,7,515,485,1000,1,0.232291,10,0.204426,20033,20033,3,0,0.914239,0,3
500,7,515,485,1000,1,0.294331,10,0.215741,20033,20033,2,1,0.567707,0,3
500,7,515,485,1000,1,0.242416,10,0.168184,20033,20033,0,3,0.960794,0,3
500,7,515,485,1000,1,0.257277,10,0.204002,20033,20033,2,2,0.551648,0,4
