Time,Rep,PopSizeF,PopSizeM,PopSize,Sex,p,chi,tau,t,gamma,surviving_offspring_nr,dead_offspring_nr,Res,NrRejections,NrMatings
10000,13,484,516,1000,1,0.0647588,10,0.0392934,20033,20033,2,1,0.99624,0,3
10000,13,484,516,1000,1,-0.154847,10,0.00642006,20033,20033,2,0,0.972748,0,2
10000,13,484,516,1000,1,0.0492728,10,0.00642006,20033,20033,4,0,1.02599,0,4
10000,13,484,516,1000,1,-0.0662748,10,0.0604516,20033,20033,0,0,1.02272,0,0
10000,13,484,516,1000,1,0.146952,10,0.0875451,20033,20033,1,0,1.01349,0,1
10000,13,484,516,1000,1,0.0139926,10,0.0901759,20033,20033,5,0,0.998445,0,5
10000,13,484,516,1000,1,0.0492728,10,0.0429087,20033,20033,2,1,0.963541,0,3
10000,13,484,516,1000,1,0.0287021,10,0.0534055,20033,20033,4,1,0.956558,0,5
10000,13,484,516,1000,1,0.122349,10,0.0118938,20033,20033,1,1,1.00896,0,2
10000,13,484,516,1000,1,-0.00329631,10,0.0068991,20033,20033,2,2,0.978423,0,4
10000,13,484,516,1000,1,0.0492728,10,0.00823353,20033,20033,3,2,1.02014,0,5
10000,13,484,516,1000,1,0.0956418,10,0.000158692,20033,20033,3,2,1.02697,0,5
10000,13,484,516,1000,1,0.172373,10,0.000158692,20033,20033,2,2,1.01222,0,4
10000,13,484,516,1000,1,0.106293,10,0.00513273,20033,20033,2,2,1.0133,0,4
10000,13,484,516,1000,1,0.0956418,10,0.0721844,20033,20033,0,1,0.973736,0,1
10000,13,484,516,1000,1,0.0390682,10,0.00513273,20033,20033,3,4,1.01794,0,7
10000,13,484,516,1000,1,-0.0581083,10,0.000158692,20033,20033,0,1,0.976022,0,1
10000,13,484,516,1000,1,0.0492728,10,0.0991574,20033,20033,1,0,1.00283,0,1
10000,13,484,516,1000,1,-0.0927346,10,0.000158692,20033,20033,5,1,0.966757,0,6
10000,13,484,516,1000,1,0.000696136,10,0.0604516,20033,20033,2,0,0.995568,0,2
10000,13,484,516,1000,1,0.0956418,10,0.00642006,20033,20033,2,2,0.951039,0,4
10000,13,484,516,1000,1,0.215727,10,0.0854481,20033,20033,1,0,1.03911,0,1
10000,13,484,516,1000,1,0.000696136,10,0.00642006,20033,20033,2,4,0.99383,0,6
10000,13,484,516,1000,1,0.0956418,10,0.000158692,20033,20033,0,2,1.00625,0,2
10000,13,484,516,1000,1,0.263569,10,0.0908907,20033,20033,1,2,0.986287,0,3
10000,13,484,516,1000,1,0.172373,10,0.152832,20033,20033,0,1,1.047,0,1
10000,13,484,516,1000,1,0.2293,10,0.0901759,20033,20033,3,1,0.970719,0,4
10000,13,484,516,1000,1,0.136186,10,0.0243486,20033,20033,2,1,0.986102,0,3
10000,13,484,516,1000,1,-0.00329631,10,0.0265318,20033,20033,1,1,0.97078,0,2
10000,13,484,516,1000,1,-0.0581083,10,0.00823353,20033,20033,3,0,1.02569,0,3
10000,13,484,516,1000,1,0.0492728,10,0.00642006,20033,20033,2,1,0.990837,0,3
10000,13,484,516,1000,1,0.0492728,10,0.0343971,20033,20033,2,1,0.995904,0,3
10000,13,484,516,1000,1,0.041231,10,0.0901759,20033,20033,1,2,1.03562,0,3
10000,13,484,516,1000,1,0.0202631,10,0.0750813,20033,20033,2,2,0.993134,0,4
10000,13,484,516,1000,1,0.0956418,10,0.0243486,20033,20033,0,0,1.01744,0,0
10000,13,484,516,1000,1,0.0390682,10,0.0392934,20033,20033,3,2,0.954043,0,5
10000,13,484,516,1000,1,0.0956418,10,0.0901759,20033,20033,1,2,0.978591,0,3
10000,13,484,516,1000,1,0.263569,10,0.0169897,20033,20033,2,1,1.00191,0,3
10000,13,484,516,1000,1,-0.0581083,10,0.000158692,20033,20033,3,0,0.967287,0,3
10000,13,484,516,1000,1,-0.00329631,10,0.0224966,20033,20033,1,1,0.952017,0,2
10000,13,484,516,1000,1,-0.0581083,10,0.00513273,20033,20033,1,2,0.961947,0,3
10000,13,484,516,1000,1,0.165112,10,0.0118938,20033,20033,1,1,1.01333,0,2
10000,13,484,516,1000,1,0.000696136,10,0.00513273,20033,20033,4,1,1.00279,0,5
10000,13,484,516,1000,1,0.00636154,10,0.095927,20033,20033,3,2,0.970181,0,5
10000,13,484,516,1000,1,0.00636154,10,0.000158692,20033,20033,2,0,0.987804,0,2
10000,13,484,516,1000,1,0.0940655,10,0.0191092,20033,20033,2,1,1.01022,0,3
10000,13,484,516,1000,1,0.0492728,10,0.0908907,20033,20033,1,1,0.955461,0,2
10000,13,484,516,1000,1,0.108095,10,0.0392934,20033,20033,1,1,0.982526,0,2
10000,13,484,516,1000,1,0.0287021,10,0.0392934,20033,20033,3,1,1.04416,0,4
10000,13,484,516,1000,1,0.136186,10,0.0604516,20033,20033,2,2,0.962541,0,4
10000,13,484,516,1000,1,0.0390682,10,0.0750813,20033,20033,3,1,1.02623,0,4
10000,13,484,516,1000,1,0.201482,10,0.0901759,20033,20033,2,1,0.984066,0,3
10000,13,484,516,1000,1,0.0647588,10,0.0750813,20033,20033,2,2,0.95781,0,4
10000,13,484,516,1000,1,0.0647588,10,0.000158692,20033,20033,4,4,0.996937,0,8
10000,13,484,516,1000,1,0.0956418,10,0.00350244,20033,20033,2,2,0.966873,0,4
10000,13,484,516,1000,1,-0.00329631,10,0.00642006,20033,20033,3,0,1.03145,0,3
10000,13,484,516,1000,1,-0.134088,10,0.0727723,20033,20033,0,2,1.03484,0,2
10000,13,484,516,1000,1,0.136186,10,0.0604516,20033,20033,1,1,0.99318,0,2
10000,13,484,516,1000,1,0.106293,10,0.0604516,20033,20033,1,1,1.01343,0,2
10000,13,484,516,1000,1,0.101937,10,0.0169897,20033,20033,2,1,0.994857,0,3
10000,13,484,516,1000,1,0.0647588,10,0.0392934,20033,20033,2,0,0.990738,0,2
10000,13,484,516,1000,1,0.214096,10,0.0991574,20033,20033,2,0,0.982958,0,2
10000,13,484,516,1000,1,0.0492728,10,0.0991574,20033,20033,0,1,0.986486,0,1
10000,13,484,516,1000,1,-0.0581083,10,0.000158692,20033,20033,2,0,0.975943,0,2
10000,13,484,516,1000,1,0.148318,10,0.167136,20033,20033,2,1,1.0413,0,3
10000,13,484,516,1000,1,0.0492728,10,0.000158692,20033,20033,2,3,0.959198,0,5
10000,13,484,516,1000,1,0.0492728,10,0.00708825,20033,20033,5,0,0.968979,0,5
10000,13,484,516,1000,1,0.136186,10,0.0596582,20033,20033,2,0,1.0442,0,2
10000,13,484,516,1000,1,-0.0581083,10,0.0392934,20033,20033,2,0,1.03575,0,2
10000,13,484,516,1000,1,0.0956418,10,0.0572636,20033,20033,2,1,0.954685,0,3
10000,13,484,516,1000,1,0.0287021,10,0.000158692,20033,20033,3,0,1.00067,0,3
10000,13,484,516,1000,1,-0.00329631,10,0.0793354,20033,20033,0,0,1.01218,0,0
10000,13,484,516,1000,1,0.106293,10,0.00708825,20033,20033,0,1,0.967454,0,1
10000,13,484,516,1000,1,0.0287021,10,0.00708825,20033,20033,2,2,1.02966,0,4
10000,13,484,516,1000,1,-0.134088,10,0.00513273,20033,20033,2,1,0.955034,0,3
10000,13,484,516,1000,1,-0.00329631,10,0.0068991,20033,20033,1,2,1.0311,0,3
10000,13,484,516,1000,1,0.263569,10,0.0908907,20033,20033,3,3,1.04991,0,6
10000,13,484,516,1000,1,0.221689,10,0.000158692,20033,20033,1,1,1.00853,0,2
10000,13,484,516,1000,1,0.0492728,10,0.0750813,20033,20033,1,3,1.01734,0,4
10000,13,484,516,1000,1,0.000696136,10,0.015021,20033,20033,5,1,1.04901,0,6
10000,13,484,516,1000,1,0.0390682,10,0.000158692,20033,20033,1,5,0.951561,0,6
10000,13,484,516,1000,1,0.136186,10,0.0793354,20033,20033,1,1,0.964509,0,2
10000,13,484,516,1000,1,0.00636154,10,0.0294286,20033,20033,3,3,0.988847,0,6
10000,13,484,516,1000,1,-0.0738725,10,0.0793354,20033,20033,7,1,0.964126,0,8
10000,13,484,516,1000,1,0.0390682,10,0.152832,20033,20033,1,1,1.0041,0,2
10000,13,484,516,1000,1,0.0956418,10,0.0875451,20033,20033,3,1,1.04015,0,4
10000,13,484,516,1000,1,0.106293,10,0.0750813,20033,20033,2,1,0.974021,0,3
