Time,Rep,PopSizeF,PopSizeM,PopSize,Sex,p,chi,tau,t,gamma,surviving_offspring_nr,dead_offspring_nr,Res,NrRejections,NrMatings
10000,7,505,495,1000,1,0.634721,10,0.503693,20033,20033,3,4,0.578332,0,7
10000,7,505,495,1000,1,0.589176,10,0.487633,20033,20033,4,3,0.974878,0,7
10000,7,505,495,1000,1,0.677655,10,0.464422,20033,20033,5,3,0.549691,0,8
10000,7,505,495,1000,1,0.630386,10,0.443614,20033,20033,3,6,0.760502,0,9
10000,7,505,495,1000,1,0.566192,10,0.475492,20033,20033,3,3,1.11067,0,6
10000,7,505,495,1000,1,0.760789,10,0.504037,20033,20033,5,4,0.695754,0,9
10000,7,505,495,1000,1,0.601371,10,0.487633,20033,20033,0,3,1.0569,0,3
10000,7,505,495,1000,1,0.704726,10,0.465839,20033,20033,3,3,0.568951,0,6
10000,7,505,495,1000,1,0.724448,10,0.44853,20033,20033,1,4,0.671467,0,5
10000,7,505,495,1000,1,0.71809,10,0.465839,20033,20033,1,7,1.16511,0,8
10000,7,505,495,1000,1,0.651165,10,0.44722,20033,20033,3,2,0.810355,0,5
10000,7,505,495,1000,1,0.608106,10,0.475492,20033,20033,5,3,1.29544,0,8
10000,7,505,495,1000,1,0.673994,10,0.495611,20033,20033,4,1,0.668728,0,5
10000,7,505,495,1000,1,0.580406,10,0.465839,20033,20033,2,1,1.48904,0,3
10000,7,505,495,1000,1,0.672226,10,0.465839,20033,20033,1,4,1.28198,0,5
10000,7,505,495,1000,1,0.677655,10,0.465839,20033,20033,2,3,1.19353,0,5
10000,7,505,495,1000,1,0.637447,10,0.465839,20033,20033,1,3,1.40966,0,4
10000,7,505,495,1000,1,0.64155,10,0.443845,20033,20033,2,3,1.2596,0,5
10000,7,505,495,1000,1,0.704529,10,0.483291,20033,20033,4,1,0.559135,0,5
10000,7,505,495,1000,1,0.651165,10,0.482412,20033,20033,4,2,0.923082,0,6
10000,7,505,495,1000,1,0.724448,10,0.465839,20033,20033,4,6,1.13895,0,10
10000,7,505,495,1000,1,0.439652,10,0.504561,20033,20033,0,3,0.864052,0,3
10000,7,505,495,1000,1,0.586501,10,0.465839,20033,20033,1,1,1.45756,0,2
10000,7,505,495,1000,1,0.651165,10,0.483291,20033,20033,2,1,0.686466,0,3
10000,7,505,495,1000,1,0.608106,10,0.487633,20033,20033,2,3,1.12617,0,5
10000,7,505,495,1000,1,0.57116,10,0.4279,20033,20033,1,3,0.549017,0,4
10000,7,505,495,1000,1,0.56534,10,0.44722,20033,20033,1,2,1.11598,0,3
10000,7,505,495,1000,1,0.704726,10,0.465839,20033,20033,2,4,0.822323,0,6
10000,7,505,495,1000,1,0.672226,10,0.465839,20033,20033,3,3,1.21376,0,6
10000,7,505,495,1000,1,0.660277,10,0.44722,20033,20033,0,1,0.893939,0,1
10000,7,505,495,1000,1,0.56534,10,0.543154,20033,20033,1,3,0.745281,0,4
10000,7,505,495,1000,1,0.57116,10,0.465839,20033,20033,2,2,1.26097,0,4
10000,7,505,495,1000,1,0.608106,10,0.465839,20033,20033,4,1,0.657575,0,5
