Time,Rep,PopSizeF,PopSizeM,PopSize,avg_tau,avg_p,avg_chi,avg_t,avg_gamma,avg_surviving_offspring_per_mother,avg_dead_offspring_per_mother,avg_Res
0,0,500,500,1000,0,0,10,0,1.00053,3.066,1.902,0.993818
100,0,495,505,1000,0.0150867,0.00838799,10,0.014664,1.00024,3.07071,1.94949,1.01864
200,0,527,473,1000,0.0068687,-0.00758939,10,0.0064297,1.00049,3.09867,2.0019,1.00544
300,0,517,483,1000,0.00308746,-0.0555897,10,0.0032883,0.982958,3.24178,1.86074,0.991527
400,0,486,514,1000,0.00352941,-0.0588025,10,0.00363928,1.0099,3.19753,1.88477,1.0094
500,0,507,493,1000,0.00269181,-0.0663055,10,0.00278808,1.01118,3.18343,1.92505,1.00497
600,0,527,473,1000,0.00302994,-0.115743,10,0.00314778,1.02051,3.11195,1.89564,1.01825
700,0,492,508,1000,0.00228127,-0.128548,10,0.00298354,1.00414,3.15244,1.93293,0.997723
800,0,516,484,1000,0.00393317,-0.0720323,10,0.00381546,0.995813,3.09496,1.82752,0.996299
900,0,472,528,1000,0.00566654,-0.0208684,10,0.00611223,1.00607,3.15678,1.83686,1.01721
1000,0,517,483,1000,0.0117309,0.00694907,10,0.01193,0.99979,3.16634,1.83172,0.992899
1100,0,490,510,1000,0.00821843,-0.0157872,10,0.00795378,0.985019,2.99184,1.97551,0.992725
1200,0,488,512,1000,0.0170475,0.0374019,10,0.0188685,1.01705,3.08811,1.95082,1.02254
1300,0,477,523,1000,0.043968,0.0678461,10,0.0439829,0.961477,3.1782,1.92872,1.00861
1400,0,499,501,1000,0.208658,0.290345,10,0.205951,0.782841,2.85371,2.2024,0.98003
1500,0,494,506,1000,0.272643,0.352528,10,0.274289,0.735206,2.75506,2.23077,1.01156
1600,0,512,488,1000,0.355869,0.48541,10,0.352868,0.640294,2.59961,2.41992,0.993326
1700,0,527,473,1000,0.414805,0.539045,10,0.417822,0.591289,2.51613,2.42884,1.01947
1800,0,511,489,1000,0.437779,0.570009,10,0.436947,0.559062,2.39139,2.58317,0.99855
1900,0,499,501,1000,0.46048,0.609202,10,0.47204,0.552421,2.26653,2.48297,1.01838
2000,0,497,503,1000,0.491747,0.659721,10,0.477009,0.491835,2.33602,2.72233,0.977565
2100,0,502,498,1000,0.533927,0.734042,10,0.532039,0.46283,2.14741,2.77291,0.994617
2200,0,481,519,1000,0.568647,0.777973,10,0.558836,0.425395,2.04158,2.96881,0.993459
2300,0,518,482,1000,0.58913,0.842315,10,0.578951,0.402307,1.9556,3.00772,0.991972
0,1,500,500,1000,0,0,10,0,1.00219,3.154,1.822,1.01232
100,1,507,493,1000,0.00513067,-0.0081367,10,0.00555648,0.983371,3.10454,1.92702,0.997765
200,1,485,515,1000,0.00502099,-0.013789,10,0.0054866,0.989182,3.04124,1.86186,0.989208
300,1,482,518,1000,0.00682976,-0.0138629,10,0.00715314,1.00557,2.95228,1.94191,1.01644
400,1,495,505,1000,0.0206884,0.0188948,10,0.0215126,0.981946,3.01616,1.86061,0.998396
500,1,494,506,1000,0.0067176,-0.0441959,10,0.00651694,0.99503,3.10324,2.03644,0.992904
600,1,504,496,1000,0.00294762,-0.139671,10,0.00301177,1.00762,3.05357,2.01786,1.00226
700,1,492,508,1000,0.00348883,-0.1148,10,0.00353083,0.989889,3.0752,1.95528,0.987638
800,1,487,513,1000,0.00397858,-0.103873,10,0.0043789,0.994188,3.1191,1.80493,0.992119
900,1,493,507,1000,0.00246421,-0.120563,10,0.00174002,1.01104,3.17444,1.81339,1.00442
1000,1,495,505,1000,0.00306189,-0.0747401,10,0.0031905,1.00441,3.08889,1.92727,0.991964
1100,1,512,488,1000,0.00257931,-0.0644087,10,0.00253906,0.99456,3.08594,1.97266,1.00139
1200,1,493,507,1000,0.00205298,-0.0913177,10,0.00226356,0.992484,2.97769,1.93103,0.997573
1300,1,493,507,1000,0.00185504,-0.159914,10,0.00154634,0.991091,3.05882,1.85396,1.0017
1400,1,509,491,1000,0.00211199,-0.191339,10,0.0015433,0.994953,3.18861,1.92141,0.996633
1500,1,520,480,1000,0.00252938,-0.162804,10,0.00233367,0.991503,3.18269,1.83654,1.00242
1600,1,485,515,1000,0.0028078,-0.161975,10,0.00289268,0.990314,3.04742,1.83711,0.997828
1700,1,460,540,1000,0.00212699,-0.164754,10,0.00229545,0.994523,3.04783,1.9413,1.00252
1800,1,496,504,1000,0.00171443,-0.139861,10,0.00155376,0.984623,2.91532,2.0504,0.999604
1900,1,507,493,1000,0.00251733,-0.112171,10,0.00214941,0.99005,3.01183,2.0217,0.992994
2000,1,487,513,1000,0.00185409,-0.134381,10,0.0020568,0.988397,3.03491,2.08008,0.997744
2100,1,485,515,1000,0.00245713,-0.192456,10,0.00245754,1.00089,2.98557,1.99175,1.00014
2200,1,497,503,1000,0.00328846,-0.0971506,10,0.00287719,0.997602,2.97586,1.95573,0.997503
2300,1,501,499,1000,0.00537371,-0.0694498,10,0.00532906,0.995607,3.1477,2.02196,1.00181
2400,1,478,522,1000,0.00279279,-0.111293,10,0.00331777,1.01958,3.07531,1.84519,1.0024
2500,1,499,501,1000,0.00312047,-0.085496,10,0.00300548,1.00557,3.07014,1.89579,1.00265
2600,1,509,491,1000,0.00379888,-0.0423404,10,0.00361327,0.978111,3.11788,2.03929,0.985164
2700,1,488,512,1000,0.00647959,-0.0433422,10,0.00671505,1.00196,3.02049,1.8668,1.00728
2800,1,516,484,1000,0.0256083,0.0385249,10,0.0273917,0.987188,3.09302,1.87403,1.01361
2900,1,488,512,1000,0.148701,0.166922,10,0.146726,0.849768,2.7459,2.18033,0.996564
3000,1,522,478,1000,0.244045,0.329282,10,0.242104,0.748797,2.79885,2.19923,0.996385
3100,1,491,509,1000,0.309489,0.390977,10,0.317458,0.706852,2.62118,2.37067,1.00767
3200,1,487,513,1000,0.362696,0.467763,10,0.360687,0.631783,2.43532,2.43737,0.989793
3300,1,484,516,1000,0.418042,0.559736,10,0.413952,0.575793,2.42769,2.64256,0.989685
3400,1,513,487,1000,0.472903,0.640238,10,0.468566,0.520542,2.34308,2.46589,1.0004
3500,1,511,489,1000,0.508162,0.688633,10,0.509954,0.493006,2.28963,2.68493,0.990546
3600,1,468,532,1000,0.540877,0.722598,10,0.530495,0.44917,2.13675,2.83547,0.987961
