Time,Rep,PopSizeF,PopSizeM,PopSize,avg_tau,avg_p,avg_chi,avg_t,avg_gamma,avg_surviving_offspring_per_mother,avg_dead_offspring_per_mother,avg_Res
0,9,500,500,1000,0,0,10,0,0.985269,3.046,1.938,0.987325
1,9,508,492,1000,0.000645015,0.000274624,10,0.000390344,1.01051,3.12992,1.7815,1.00292
2,9,480,520,1000,0.000814095,0.000163732,10,0.000830603,1.0102,3.14792,1.85417,0.994702
3,9,505,495,1000,0.000614418,-0.000290138,10,0.000704368,1.02052,3.15446,1.97624,1.01149
4,9,512,488,1000,0.000834842,-0.000616221,10,0.000961744,0.996857,3.11133,1.83789,1.00288
5,9,498,502,1000,0.00112592,-0.000885871,10,0.00101012,0.999056,3.28916,1.84739,0.998667
6,9,477,523,1000,0.00104167,-0.000141348,10,0.000967282,1.01462,3.09434,1.90776,1.0111
7,9,490,510,1000,0.00160304,-0.000564809,10,0.00127953,0.997924,3.14898,2.00816,0.984979
8,9,529,471,1000,0.00155819,-0.0004696,10,0.00148506,0.991597,3.12098,1.90359,0.993145
9,9,505,495,1000,0.00164428,-5.28395e-05,10,0.00188287,0.995583,3.02376,1.98218,0.996051
10,9,481,519,1000,0.00114634,0.000285236,10,0.000947939,0.995808,3.03534,1.89397,0.983208
11,9,475,525,1000,0.00148206,0.000434541,10,0.00170562,0.981888,3.01263,2.10737,0.989058
12,9,503,497,1000,0.00200148,0.00110858,10,0.00267295,0.980595,3.09543,1.89861,0.980198
13,9,482,518,1000,0.00284347,0.00125271,10,0.00302269,1.02417,3.26141,1.80913,1.01805
14,9,482,518,1000,0.00232931,0.00129179,10,0.00226794,0.995361,3.02697,1.93154,1.00753
15,9,530,470,1000,0.00296845,0.00154914,10,0.00313636,0.977304,3.03774,2.0717,0.985526
16,9,491,509,1000,0.0034121,0.00121752,10,0.00254165,0.981251,3.13849,1.85947,0.984415
17,9,518,482,1000,0.00274925,0.00119442,10,0.00279715,1.00195,3.01544,2.00386,1.00653
18,9,504,496,1000,0.0026874,2.58813e-05,10,0.00236923,0.995368,3.00198,1.79762,0.986552
19,9,487,513,1000,0.00290637,-0.000786483,10,0.00308368,1.00761,3.10472,1.95072,1.01318
20,9,494,506,1000,0.00309554,-0.000619803,10,0.00348213,1.0161,2.92105,2.04453,1.01849
21,9,503,497,1000,0.00371234,-0.000304842,10,0.00362782,0.998754,3.19483,1.93439,1.00223
22,9,474,526,1000,0.00328947,-0.000837075,10,0.00387954,0.999353,3.06329,1.81646,0.990918
23,9,470,530,1000,0.00277689,0.00128127,10,0.00274852,0.993114,3.05532,1.90638,0.998336
24,9,486,514,1000,0.00398701,0.00198527,10,0.00379192,0.993313,3.0144,1.87449,1.00162
25,9,482,518,1000,0.00389012,0.00332726,10,0.00346153,0.992807,2.97925,1.91494,1.00011
26,9,517,483,1000,0.00446592,0.00264063,10,0.00460438,1.01001,2.98259,1.88781,1.00585
27,9,492,508,1000,0.00430713,0.00237259,10,0.00387946,1.00451,3.14024,1.9126,0.992089
28,9,523,477,1000,0.00516803,0.00334191,10,0.00523299,0.979603,2.95411,1.97897,0.987416
29,9,481,519,1000,0.00499794,0.00301311,10,0.00481941,1.01999,3.13721,1.89605,1.01732
30,9,507,493,1000,0.00535249,0.00328631,10,0.0060682,0.988796,3.02959,1.9428,1.00161
31,9,472,528,1000,0.00469304,0.00369013,10,0.00478689,0.976628,2.95339,1.91525,0.998528
32,9,494,506,1000,0.00516895,0.00341517,10,0.00499178,0.974653,3.01417,1.83603,0.997109
33,9,515,485,1000,0.00483004,0.0047536,10,0.0047095,0.994943,3.18641,1.83107,0.995402
34,9,488,512,1000,0.00413668,0.00448058,10,0.00469608,1.02076,3.12705,1.91598,1.0047
35,9,501,499,1000,0.00434952,0.00612117,10,0.00358055,0.979676,3.19561,1.97405,0.990928
36,9,471,529,1000,0.00438808,0.00684577,10,0.00461037,0.998321,3,1.95329,0.998938
37,9,484,516,1000,0.00437221,0.00478637,10,0.0049555,0.98626,3.20248,1.96281,0.993635
38,9,506,494,1000,0.00394468,0.00599955,10,0.00430979,0.965196,2.89526,1.93281,0.98561
39,9,499,501,1000,0.0037973,0.00677663,10,0.00414372,1.01577,2.98597,1.76353,1.0227
40,9,489,511,1000,0.00459727,0.00867299,10,0.00501929,0.994576,3.14519,1.85276,1.01359
41,9,511,489,1000,0.00444193,0.00893964,10,0.00514284,0.994792,2.98434,1.96086,1.00719
42,9,495,505,1000,0.00439386,0.00921454,10,0.00395497,0.982482,3.06263,1.90707,0.987786
43,9,523,477,1000,0.00387748,0.00825274,10,0.00457771,0.988094,3.01147,1.97706,0.98922
44,9,499,501,1000,0.00493775,0.00817005,10,0.005058,0.991675,2.99198,1.87776,1.00511
45,9,498,502,1000,0.00453469,0.00912333,10,0.00454205,0.983441,3.03012,1.88554,0.991461
46,9,506,494,1000,0.00394981,0.00831448,10,0.00374437,1.00819,3.083,1.98221,1.00034
47,9,491,509,1000,0.00435682,0.00826144,10,0.00425557,0.998299,3.06721,2.02851,0.999244
48,9,490,510,1000,0.00474978,0.00681189,10,0.00479031,0.987101,3.13469,1.87143,0.996872
49,9,494,506,1000,0.00520295,0.00811488,10,0.00521911,0.985132,2.96761,1.95547,1.0051
50,9,513,487,1000,0.00652018,0.0121081,10,0.00678821,1.0189,3.05263,1.94152,1.02168
51,9,514,486,1000,0.00655106,0.0131999,10,0.00665677,0.996125,3.17315,1.92802,0.996326
52,9,511,489,1000,0.0060607,0.0118981,10,0.00664181,0.981104,3.11546,1.97652,0.988802
53,9,486,514,1000,0.00591085,0.0101201,10,0.00583354,0.9939,3.12346,2.01029,0.999303
54,9,476,524,1000,0.0056881,0.00857529,10,0.00585361,1.00274,2.92437,2.0084,1.00347
55,9,526,474,1000,0.00616527,0.00890563,10,0.00586957,0.985658,3.07605,1.92776,0.998798
56,9,500,500,1000,0.00661137,0.012747,10,0.00674452,0.99268,3.094,1.858,1.00435
57,9,476,524,1000,0.00649427,0.0138091,10,0.00598495,1.00668,3.07563,1.80882,1.0069
58,9,523,477,1000,0.00606861,0.0146027,10,0.00621379,0.983281,2.97897,1.94455,0.998427
59,9,522,478,1000,0.00547261,0.0133337,10,0.00490347,1.01912,3.16092,1.85441,1.01158
60,9,485,515,1000,0.0058106,0.0161718,10,0.00593284,0.986854,2.93814,1.93814,0.999682
61,9,477,523,1000,0.00591052,0.0164502,10,0.00538521,0.97793,2.99161,1.91614,0.993591
62,9,497,503,1000,0.00693834,0.0147391,10,0.0071891,0.985001,3.08048,2.00201,1.00168
63,9,495,505,1000,0.00704618,0.0151123,10,0.00795979,0.991659,3.01414,1.92323,1.008
64,9,492,508,1000,0.00749978,0.0194319,10,0.00680198,0.982679,2.94512,1.82927,0.99914
65,9,535,465,1000,0.00670243,0.0212063,10,0.00556285,0.972517,3.08411,2.00374,0.988184
66,9,493,507,1000,0.00836461,0.0198628,10,0.00803191,0.990015,3.16633,1.9716,0.991915
67,9,504,496,1000,0.00747833,0.0179031,10,0.00730254,0.998029,3.19444,1.92262,1.0005
68,9,513,487,1000,0.00679213,0.0168964,10,0.00669323,0.975056,2.77973,2.04094,0.990666
69,9,458,542,1000,0.00682821,0.0172592,10,0.00779236,0.999416,3.0917,1.84716,1.00317
70,9,496,504,1000,0.00626603,0.0157854,10,0.00680234,1.01506,3.12298,1.97581,1.00187
71,9,515,485,1000,0.00584746,0.0188538,10,0.00555927,0.983375,3.00388,1.8699,0.994666
72,9,506,494,1000,0.00618289,0.017147,10,0.00601193,0.982997,2.99012,2.02569,0.990365
73,9,488,512,1000,0.00721947,0.0187665,10,0.00653243,0.98164,3.02459,1.94262,0.989924
74,9,547,453,1000,0.00684593,0.0222676,10,0.00679934,0.982275,3.16088,2.03291,0.993697
75,9,496,504,1000,0.00742471,0.0189174,10,0.00637941,0.965194,3.01008,1.89718,0.975364
76,9,471,529,1000,0.00731593,0.0182519,10,0.00761995,1.01402,3.13588,1.81741,1.00809
77,9,499,501,1000,0.00831748,0.0223418,10,0.00829093,1.01672,3.26453,1.9499,1.00442
78,9,495,505,1000,0.00785107,0.022766,10,0.00869041,1.01033,3.04444,2.04242,1.01378
79,9,522,478,1000,0.00787286,0.0201922,10,0.00808828,0.992683,3.31226,1.90805,0.996226
80,9,513,487,1000,0.00843664,0.0235528,10,0.0083684,1.00247,3.13645,1.88304,1.00038
