Time,Rep,PopSizeF,PopSizeM,PopSize,avg_tau,avg_p,avg_chi,avg_t,avg_gamma,avg_surviving_offspring_per_mother,avg_dead_offspring_per_mother,avg_Res
0,0,500,500,1000,0,0,10,0,1.00053,3.066,1.902,0.993818
100,0,497,503,1000,0.0113174,-0.0055788,10,0.011444,0.995902,3.18712,1.88129,1.016
200,0,511,489,1000,0.0115907,0.0135358,10,0.0111569,0.978989,2.96282,1.94521,0.98775
300,0,496,504,1000,0.0272158,0.0691635,10,0.0285279,0.96813,3.11492,1.94355,0.993002
400,0,509,491,1000,0.0783048,0.13535,10,0.0773024,0.91689,2.75049,1.99411,1.00756
500,0,495,505,1000,0.160664,0.219237,10,0.162884,0.843027,2.99394,2.27071,1.01011
600,0,487,513,1000,0.191026,0.248061,10,0.190941,0.811215,2.79261,2.0616,0.996686
700,0,504,496,1000,0.211317,0.260414,10,0.209659,0.77747,2.75992,2.27579,0.990143
800,0,491,509,1000,0.233425,0.319162,10,0.228206,0.755664,2.78411,2.20774,0.993431
900,0,517,483,1000,0.274356,0.365016,10,0.272087,0.721553,2.70793,2.37524,0.996216
1000,0,490,510,1000,0.307363,0.378016,10,0.310137,0.700357,2.63061,2.44286,1.00337
1100,0,486,514,1000,0.315989,0.38661,10,0.320013,0.694008,2.56996,2.51029,1.00835
1200,0,479,521,1000,0.326924,0.446372,10,0.328687,0.674634,2.53236,2.52818,0.988533
1300,0,472,528,1000,0.338784,0.404098,10,0.335215,0.654262,2.44915,2.45763,0.995918
1400,0,492,508,1000,0.332458,0.429111,10,0.340495,0.683092,2.67276,2.45122,1.00284
1500,0,478,522,1000,0.346471,0.478682,10,0.347981,0.656909,2.46025,2.47071,0.99031
1600,0,503,497,1000,0.354485,0.484662,10,0.342349,0.630357,2.50895,2.56064,0.985796
1700,0,506,494,1000,0.363081,0.515699,10,0.360354,0.629885,2.47826,2.7253,0.999645
1800,0,524,476,1000,0.373935,0.497962,10,0.377036,0.629706,2.47137,2.55153,1.00051
1900,0,505,495,1000,0.402208,0.52544,10,0.400912,0.596728,2.41584,2.54653,0.992436
2000,0,507,493,1000,0.419654,0.537844,10,0.421358,0.581944,2.33333,2.75148,0.994552
2100,0,506,494,1000,0.407853,0.525912,10,0.416037,0.603699,2.33399,2.6502,0.995881
2200,0,472,488,960,0.409822,0.530904,10,0.402807,0.579354,2.3178,2.65466,0.99081
2300,0,518,482,1000,0.403264,0.539136,10,0.406297,0.599721,2.33784,2.62934,0.995392
2400,0,540,460,1000,0.406294,0.537903,10,0.399276,0.583349,2.30556,2.70926,1.00755
2500,0,504,496,1000,0.403513,0.518115,10,0.403175,0.593718,2.36706,2.66468,1.00489
2600,0,497,503,1000,0.401037,0.537275,10,0.401701,0.598438,2.25352,2.67807,1.00706
2700,0,501,499,1000,0.392384,0.519948,10,0.395044,0.607829,2.3014,2.64072,1.00314
2800,0,495,505,1000,0.3923,0.518649,10,0.397762,0.615971,2.4202,2.78384,0.999825
2900,0,507,493,1000,0.385408,0.538989,10,0.391294,0.623359,2.51479,2.41815,0.9989
3000,0,470,530,1000,0.39193,0.524143,10,0.403544,0.624932,2.54255,2.47234,1.02101
3100,0,473,527,1000,0.396152,0.521662,10,0.396524,0.606376,2.26004,2.67442,0.999659
3200,0,525,475,1000,0.397226,0.542913,10,0.395107,0.598685,2.38095,2.7219,0.991006
3300,0,540,460,1000,0.405012,0.55195,10,0.396979,0.581496,2.28148,2.63519,0.99336
3400,0,520,480,1000,0.410724,0.541248,10,0.409825,0.590059,2.29423,2.68462,0.996038
3500,0,494,506,1000,0.404673,0.528884,10,0.40026,0.58846,2.38259,2.61741,1.00436
3600,0,509,491,1000,0.402749,0.52425,10,0.402727,0.594065,2.39489,2.84479,0.994959
3700,0,525,475,1000,0.406912,0.550918,10,0.410182,0.597214,2.42476,2.65143,1.00973
