Time,Rep,PopSizeF,PopSizeM,PopSize,avg_tau,avg_p,avg_chi,avg_t,avg_gamma,avg_surviving_offspring_per_mother,avg_dead_offspring_per_mother,avg_Res
10,23,510,490,1000,0.00449194,0.00127708,10,0.00495133,0.989653,1.96078,0.480392,1.00678
20,23,507,493,1000,0.0054992,0.00496757,10,0.00555301,0.991473,1.97239,0.453649,0.991564
30,23,495,505,1000,0.00552362,0.00272606,10,0.00628949,0.992123,2.0202,0.476768,1.00908
40,23,499,501,1000,0.00707983,0.00402674,10,0.0065498,1.01065,2.00401,0.422846,1.01161
50,23,486,514,1000,0.00696312,0.00457428,10,0.00623635,0.972465,2.05761,0.497942,0.98715
60,23,512,488,1000,0.00460701,0.00233023,10,0.00497531,1.01101,1.95312,0.441406,1.00632
70,23,498,502,1000,0.00561778,0.00199009,10,0.00570216,1.01768,2.00803,0.423695,1.00626
80,23,520,480,1000,0.00547513,0.00358855,10,0.00604554,1.00201,1.92308,0.426923,1.00148
90,23,519,481,1000,0.0075955,-4.34898e-06,10,0.00740787,0.997563,1.92678,0.454721,1.00583
100,23,511,489,1000,0.00785896,0.00455294,10,0.00766086,1.00516,1.95695,0.489237,0.997202
110,23,498,502,1000,0.00763163,0.00923836,10,0.00751463,0.993003,2.00803,0.516064,1.00637
120,23,501,499,1000,0.00809377,0.011386,10,0.00711683,0.967992,1.99601,0.540918,0.986306
130,23,473,527,1000,0.00909108,0.0106605,10,0.00878256,0.97469,2.11416,0.496829,1.00005
140,23,526,474,1000,0.0133027,0.0173993,10,0.013933,0.996876,1.90114,0.418251,1.01446
150,23,497,503,1000,0.0138689,0.0227555,10,0.0134278,0.962277,2.01207,0.478873,0.997865
160,23,511,489,1000,0.0109637,0.0157199,10,0.00986058,0.98256,1.95695,0.444227,1.01018
170,23,511,489,1000,0.0179452,0.0242052,10,0.0168161,0.980261,1.95695,0.454012,1.00022
180,23,510,490,1000,0.0164921,0.0318297,10,0.0164407,1.00284,1.96078,0.488235,1.00956
190,23,468,532,1000,0.0208046,0.0404847,10,0.0207408,0.980866,2.13675,0.514957,1.00772
